,Komentar
630,"['hua', 'senang', 'sangat', 'kemarin', 'menit', 'tetapi', 'senang', 'liat', 'isyana', 'adaptasi', 'biasa', 'baru', 'moga', 'atur', 'makan', 'tunggu', 'karya', 'kakak']"
631,"['senang', 'indonesia', 'musisi', 'idealis', 'kualitas', 'karya', 'apresiasi', 'orang']"
632,"['harap', 'hadir', 'musisi', 'genre', 'dari', 'industri', 'biar', 'musik', 'indonesia', 'warna']"
633,"['congrats', 'kakak', 'isyana', 'moga', 'impi', 'baik', 'wujud', 'aamiin']"
634,"['benar', 'benar', 'idola', 'dari', 'musisi', 'pandang', 'belah', 'mata', 'sampai', 'label', 'musik', 'congrats', 'syan']"
635,"['congrats', 'kakak', 'isyana', 'moga', 'karya', 'kakak', 'sukses']"
636,"['orang', 'stres', 'gila']"
637,"['saya', 'kalai', 'tuhan', 'gaakan', 'saya', 'jadi', 'manusia', 'pante', 'hidup', 'orang', 'dunia', 'akhlak', 'tidak ada', 'tolol', 'bangsat']"
638,"['saya', 'nang', 'kalau', 'lagu', 'sih', 'kalau', 'nang', 'karena', 'saking', 'bagus', 'lagu']"
639,"['definisi', 'minat', 'ketemu', 'bakat', 'ketemu', 'kerja', 'keras']"
640,"['astaga', 'sih', 'isyana', 'keren', 'sekali', 'musisi', 'lokal', 'selera', 'musik', 'mirip', 'gin']"
641,"['mashaallah', 'sudah', 'cantik', 'pintar', 'jago', 'nyanyi', 'dan', 'mainin', 'alat', 'musik', 'neng', 'ngefans', 'benar', 'mah']"
642,"['gila', 'gila', 'gila', 'tangan', 'kaki', 'ekspresi', 'emosi', 'tuang', 'adi', 'karya', 'fantastis']"
643,"['gosh', 'kali', 'lihat', 'isyana', 'mainin', 'alat', 'musik', 'kaya', 'lihat', 'jiwa', 'beda', 'merinding', 'gila', 'kaya', 'pribadi', 'serius', 'sekali']"
644,"['sumpah', 'allah', 'bagus', 'sekali', 'kereen', 'merinding', 'aku', 'dengerin', 'sampai', 'habis', 'saja', 'sampai', 'netesin', 'air', 'mata']"
645,"['putus', 'fans', 'isyana', 'gila', 'keren', 'sekali', 'otak', 'dua', 'fungsi', 'dengan', 'jalan', 'perintah', 'tangan', 'kaki', 'sama']"
646,"['amzing', 'isyana', 'jujur', 'amazed', 'sekali', 'skil', 'minat', 'isyana', 'musik', 'nyanyi', 'main', 'alat', 'musik', 'jago', 'sekali']"
647,"['ngiri', 'liat', 'orang', 'keren', 'main', 'alat', 'musik', 'dalam', 'sekali', 'nikmatin', 'main']"
648,"['sampai', 'isyana', 'sempurna', 'orang']"
649,"['inimah', 'main', 'alat', 'musik', 'olahraga', 'jari', 'kaki', 'mah']"
