,Komentar
156,"['happy birthday', 'mbak', 'meldianti', 'cantik', 'panjang', 'umur', 'sehat']"
157,"['diri', 'kaki']"
158,"['biar', 'edit', 'kaya', 'saja', 'ketiak', 'hitam', 'bohongin']"
159,"['sumpah', 'apa', 'lengan', 'gede', 'sekali']"
160,"['selamat', 'ulang', 'umur', 'ketemu', 'dajjal']"
161,"['ketiak', 'hitam', 'buluk', 'kamu', 'edit', 'nutupin', 'daki', 'ketek', 'kamu', 'aka', 'hitam', 'ketiak', 'kamu', 'dasar', 'dugong']"
162,"['atm', 'tinggal', 'ribu', 'saja', 'gaya', 'kamu', 'dugong']"
163,"['bagus', 'suara', 'pola']"
164,"['sih', 'meldianti', 'jelek', 'saja', 'gaya', 'beda', 'sekali', 'sama', 'tante', 'sepupu', 'sudah', 'cantik']"
165,"['sudah', 'ubah', 'mirip', 'saya', 'lihat']"
166,"['ngedit', 'ketiak', 'sudah', 'sampai', 'ngeblur', 'pis', 'putih', 'seperti', 'cat', 'tembok']"
167,"['aduh', 'dugong', 'saja', 'gila', 'filter']"
168,"['muka', 'saja', 'dempul', 'ketiak']"
169,"['kasihan', 'kebelet', 'artis', 'bakat']"
170,"['pelihara', 'lepas', 'tolong', 'angkut']"
171,"['miris', 'sekali', 'ultah', 'didoain', 'bully', 'kasihan', 'god', 'bles', 'meldianti']"
172,"['mudah', 'mudah', 'kamu', 'jelek', 'amin', 'allah']"
173,"['ketiak', 'hitam', 'kasih', 'bedak', 'abu', 'monyet']"
174,"['heran', 'saya', 'mah', 'tidak suka', 'tidak usah', 'follow', 'sudah', 'tahu', 'ini', 'akun', 'private', 'kalau', 'kamu', 'follow', 'ngebuli', 'tanda', 'kamu', 'sirik', 'tidak suka', 'tidak usah', 'liat', 'kaya', 'sempurna', 'saja']"
175,"['saya', 'harap', 'kamu', 'saja', 'sih', 'sakit', 'laura', 'lol']"
176,"['kamu', 'saja', 'derita', 'lora', 'anjing']"
177,"['sempet', 'benar', 'lora', 'kamu', 'tinggalin', 'kamu', 'orang', 'jahat', 'kamu', 'bahagia']"
178,"['kamu', 'benar', 'gakalo', 'sempet', 'sakit', 'lora', 'saya', 'santet']"
179,"['sih', 'seperti', 'anjing']"
180,"['semangat', 'liat', 'belakang', 'fokus', 'saja', 'depan', 'muda']"
181,"['cantik', 'gila']"
182,"['meldianti', 'sinar', 'pertahanin', 'karir', 'jangan', 'disiasia']"
183,"['semangat', 'apa', 'dalah', 'mata', 'benci']"
184,"['asli', 'bebet', 'tidur', 'ini', 'anak', 'kasihan']"
185,"['kumat', 'semedinya', 'gin', 'keluar']"
186,"['tangan', 'hitam', 'beda', 'ama', 'muka']"
187,"['meldianti', 'foto', 'gendut', 'beda']"
188,"['gatau', 'sih', 'cantik', 'aura', 'cantik', 'idih', 'begitu', 'lihat']"
189,"['buruk', 'buruk', 'mata', 'suka', 'mu']"
190,"['gila', 'ini', 'siluman', 'story', 'orang', 'lihat', 'sekali', 'tumpu', 'lemak', 'burik']"
191,"['dasar', 'bodoh', 'kamu', 'saya', 'jijik', 'kamu', 'bro', 'mirip', 'otak', 'sekali']"
192,"['kamu', 'kamu', 'bagus', 'tuh', 'anjing']"
193,"['maafin', 'a', 'moga', 'jera', 'depan']"
194,"['eh', 'bocah', 'mending', 'kamu', 'mati', 'saja', 'orang', 'mirip', 'kamu', 'ha']"
195,"['btw', 'video', 'bohong', 'pas', 'percaya', 'lihat', 'tribun', 'news', 'hujat']"
196,"['okay', 'bro', 'kalem', 'saja', 'semangat', 'putus', 'asa']"
197,"['kamu', 'mati', 'saja', 'sudah', 'biar', 'bikin', 'ribet']"
198,"['sampah', 'masyarakat', 'musnah']"
199,"['mati', 'kamu', 'najis', 'kontol', 'bangsat', 'mati', 'kamu']"
200,"['youtuber', 'toxic', 'tutup', 'akun', 'tutup', 'usia']"
201,"['ribet', 'mirip', 'sudah', 'saja', 'kamu']"
